branch_name,brand_name,required_count
GALL,HANABISHI,1
GALL,LG,1
GALL,MIDEA,1
GALL,TOSHIBA,1
GALL,"G8 MARKETING",1
GALL,PANASONIC,2
GALL,SONY,1
GALL,TCL,1
GALL,UNION,1
GALL,PROMAC,1
PLZA,EVEREST,1
PLZA,TOSHIBA,2
PLZA,HANABISHI,1
PLZA,KOLIN,1
PLZA,MITSUBISHI,1
PLZA,"LA GERMANIA",1
PLZA,LG,1
PLZA,MIDEA,1
PLZA,PANASONIC,2
PLZA,SHARP,2
PLZA,SKYWORTH,1
PLZA,SONY,1
PLZA,TCL,2
PLZA,PROMAC,1
PLZA,UNION,1
SHOW,CAMEL,1
SHOW,"DEW FOAM",1
SHOW,EVEREST,1
SHOW,ASTRON,2
SHOW,GE,1
SHOW,MABE,1
SHOW,"LA GERMANIA",2
SHOW,LG,4
SHOW,MIDEA,1
SHOW,TOSHIBA,2
SHOW,"MANDAUE FOAM",1
SHOW,PANASONIC,3
SHOW,SANDEN,1
SHOW,SKYWORTH,2
SHOW,SONY,2
SHOW,TCL,3
SHOW,TECHNOGAS,1
SHOW,UNION,2
SHOW,PROMAC,1
SHOW,URATEX,1
SHOW,VIVO,1
VIAC,HANABISHI,1
VIAC,KOLIN,1
VIAC,LG,1
VIAC,MIDEA,1
VIAC,TOSHIBA,1
VIAC,PANASONIC,2
VIAC,TCL,3
VIAC,UNION,1
